,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
32,Bucknell,34,14,20,.412,-7.73,-4.32,,8,10,,9,4,,4,14,,2299,2415,,1360,820,1945,.422,279,813,.343,380,553,.687,286,1101,410,243,117,451,632
33,Buffalo,32,20,12,.625,1.80,0.06,,11,7,,10,7,,7,4,,2516,2425,,1290,927,2139,.433,261,809,.323,401,598,.671,463,1343,473,249,147,437,600
34,Butler,31,22,9,.710,15.56,9.14,,10,8,,14,3,,5,6,,2125,1926,,1245,776,1687,.460,212,621,.341,361,496,.728,280,1079,395,165,82,349,519
35,Cal Poly,30,7,23,.233,-10.00,-0.42,,4,12,,7,6,,0,15,,2027,2248,,1235,710,1685,.421,200,573,.349,407,587,.693,244,977,312,192,74,409,629
36,Cal State Bakersfield,31,12,19,.387,-7.11,-3.26,,6,10,,9,7,,3,12,,2109,2097,,1265,785,1803,.435,154,491,.314,385,563,.684,398,1155,363,194,94,422,662
37,Cal State Fullerton,31,11,20,.355,-6.79,-1.38,,6,10,,6,8,,4,11,,2127,2213,,1265,750,1735,.432,194,586,.331,433,644,.672,250,1040,358,158,93,406,574
38,Cal State Northridge,32,15,17,.469,-6.37,-0.97,,10,6,,10,4,,5,12,,2435,2528,,1280,877,1925,.456,243,652,.373,438,603,.726,290,1068,449,181,101,363,554
39,California,32,14,18,.438,3.20,9.05,,7,11,,12,5,,1,10,,2023,2210,,1295,708,1681,.421,160,477,.335,447,606,.738,258,1044,294,129,80,409,601
40,California Baptist,31,21,10,.677,-1.99,-6.66,,10,6,,15,5,,6,5,,2465,2170,,1255,826,1868,.442,306,806,.380,507,645,.786,360,1270,445,129,108,396,571
41,Campbell,31,15,16,.484,-8.51,-8.10,,6,12,,8,5,,6,10,,2130,2065,,1245,781,1700,.459,247,706,.350,321,439,.731,217,949,462,223,91,398,545
